,port_of_unlading,foreignPorts,shipmentCount,Area
1,3510,11,105,1
2,"Aberdeen, Washington",15,4140,1
3,"Addison Airport, Addison, Texas",1,1,3
4,"Albany, New York",35,201,3
5,"Alpena, Michigan",1,3,3
6,"Anacortes, Washington",19,101,1
7,"Anchorage, Alaska",21,10617,1
8,"Annapolis, Maryland",1,1,2
9,"Ashtabula/Conneaut, Ohio",11,24,3
10,"Astoria, Oregon",3,14,1
11,"Atlanta, Georgia",19,53,3
12,"Baltimore, Maryland",323,564317,2
13,"Baton Rouge, Louisiana",77,439,4
14,"Battle Creek, Michigan",1,1,3
15,"Beaufort Morehead City, North Carolina",22,515,2
16,"Beaumont, Texas",82,666,4
17,"Belfast, Maine",1,7,2
18,"Bellingham, Washington",21,85,1
19,"Birmingham, Alabama",1,1,4
20,"Boston, Massachusetts",167,137898,2
21,"Boundary, Washington",1,2,1
22,"Bridgeport, Connecticut",1,1,2
23,"Brownsville, Texas",53,463,3
24,"Brunswick, Georgia",46,33874,2
25,"Buffalo Niagara Falls, New York",3,12,2
26,"Camden, New Jersey",12,141,2
27,"Carquinez Strait, California",35,9316,1
28,"Charleston, South Carolina",309,1604027,2
29,"Charleston, West Virginia",3,3,3
30,"Charlotte Amalie, Virgin Islands",4,14,2
31,"Charlotte, North Carolina",3,9,2
32,"Chester, Pennsylvania",38,66374,3
33,"Chicago, Illinois",99,3699,3
34,"Cincinnati, Ohio",11,28,3
35,"Cleveland, Ohio",39,2373,3
36,"Columbus, Ohio",9,21,3
37,"Coos Bay, Oregon",5,132,1
38,"Corpus Christi, Texas",150,1131,4
39,"Crockett, California",14,48,1
40,"Dallas/Ft. Worth Airport, Texas",9,46,3
41,"Dalton Cache, Alaska",1,2,1
42,"Denver, Coloroda",2,2,3
43,"Detour City, Michigan",2,19,3
44,"Detroit Metropolitan Airport, Michigan",1,14,3
45,"Detroit, Michigan",50,1289,3
46,"DHL Courier, Cincinnati, Ohio",1,2,3
47,"Eastport, Maine",3,21,2
48,"El Paso, Texas",3,3,3
49,"El Segundo, California",19,191,1
50,"Erie, Pennsylvania",1,2,3
51,"Escanaba, Michigan",1,1,3
52,"Everett, Washington",24,18447,1
53,"Fajardo, Puerto Rico",23,165,2
54,"Fall River, Massachusetts",5,34,2
55,"Federal Express Courier, Memphis, Tennessee",1,1,3
56,"Federal Express, Newark, New Jersey",1,6,2
57,"Fernandina Beach, Florida",4,2993,2
58,"Fort Lauderdale International Airport, Fort Lauderdale, Florida",1,19,2
59,"Fort Myers, Florida",1,1,2
60,"Fort Pierce, Florida",3,56,2
61,"Fort Worth Alliance Airport, Fort Worth, Texas",1,4,4
62,"Freeport, Texas",76,20732,4
63,"Galveston, Texas",117,30073,4
64,"Gary, Indiana",1,1,3
65,"Gramercy, Louisiana",110,1291,4
66,"Grand Haven, Michigan",2,2,3
67,"Grand Rapids, Michigan",5,17,3
68,"Green Bay, Wisconsin",5,11,3
69,"Gulfport, Mississippi",24,47079,4
70,"Hidalgo, Texas",1,1,3
71,"Hilo, Hawaii",3,9,1
72,"Honolulu International Airport, Honolulu, Hawaii",2,2,1
73,"Honolulu, Hawaii",112,29598,1
74,"Houston Intercontinental Airport, Houston, Texas",8,10,4
75,"Houston, Texas",543,1570936,4
76,"Indianapolis, Indiana",6,36,3
77,"International Falls/Rainer, Minnesota",11,312,3
78,"Jacksonville, Florida",244,170082,2
79,"Juneau, Alaska",10,761,1
80,"Kahului, Hawaii",2,10,1
81,"Kalama, Washington",10,150,1
82,"Kansas City, Missouri",2,2,3
83,"Ketchikan, Alaska",11,545,1
84,"Key West, Florida",1,1,2
85,"Kodiak, Alaska",9,5558,1
86,"Lake Charles, Louisiana",96,1077,4
87,"Laredo, Texas",2,6,3
88,"Las Vegas, NV",1,2,3
89,"Logan Airport, East Boston, Massachusetts",1,3,2
90,"Long Beach, California",374,3369855,1
91,"Longview, Washington",19,879,1
92,"Los Angeles International Airport, Los Angeles, California",6,18,1
93,"Los Angeles, California",339,3953355,1
94,"Louisville, Kentucky",9,62,3
95,"Maida, North Dakota",1,1,3
96,"Marinette, Wisconsin",3,6,3
97,"Marquette, Michigan",2,10,3
98,"Martinez, California",29,157,1
99,"Mayaguez, Puerto Rico",4,4,2
100,"Memphis, Tennessee",14,1024,3
101,"Miami, Florida",290,438128,2
102,"Milwaukee, Wisconsin",8,306,3
103,"Minneapolis St. Paul, Minnesota",27,178,3
104,"Mobile, Alabama",172,108282,4
105,"Morgan City, Louisiana",37,5095,4
106,"Muskegon, Michigan",2,2,3
107,"Nashville, Tennessee",1,1,3
108,"Nawiliwili Port Allen, Hawaii",2,9,1
109,"New Bedford, Massachusetts",3,359,2
110,"New Haven, Connecticut",33,315,2
111,"New London, Connecticut",6,2496,2
112,"New Orleans, Louisiana",422,199242,4
113,"New York, New York",343,333548,2
114,"New York/Newark Area, Newark, New Jersey",505,3562427,2
115,"Newport, Oregon",1,15,1
116,"Newport, Rhode Island",2,116,2
117,"Norfolk, Virginia",310,1001732,2
118,"Oakland, California",255,710783,1
119,"Ogdensburg, New York",1,2,3
120,"Oklahoma City, Oklahoma",1,1,3
121,"Olympia, Washington",2,2,1
122,"Orange, Texas",2,9,3
123,"Oswego, New York",3,119,3
124,"Panama City, Florida",15,13582,2
125,"Pascagoula, Mississippi",44,208,4
126,"Paulsboro, Pennsylvania",10,12,2
127,"Pensacola, Florida",2,3,3
128,"Perth Amboy, New Jersey",51,162,2
129,"Philadelphia, Pennsylvania",262,408513,2
130,"Pittsburgh, Pennsylvania",4,14,2
131,"Plymouth, Massachusetts",3,5,2
132,"Point Roberts, Washington",1,1,1
133,"Ponce, Puerto Rico",34,547,2
134,"Port Angeles, Washington",6,29,1
135,"Port Arthur, Texas",81,619,4
136,"Port Canaveral, Florida",75,22977,2
137,"Port Everglades, Florida",313,639301,2
138,"Port Hueneme, California",60,61965,1
139,"Port Huron, Michigan",2,5,3
140,"Port Lavaca, Texas",26,90,4
141,"Port Manatee, Florida",30,10740,2
142,"Port Townsend, Washington",2,3,1
143,"Portland, Maine",28,5367,2
144,"Portland, Oregon",39,2017,1
145,"Portsmouth, New Hampshire",20,115,2
146,"Progresso, Texas",2,4,3
147,"Providence, Rhode Island",47,973,2
148,"Redwood City, California",4,33,1
149,"Richmond Petersburg, Virginia",3,9,2
150,"Richmond, California",55,507,1
151,"Rochester, New York",1,15,3
152,"Rogers City, Michigan",1,5,3
153,"Sabine, Texas",6,28,4
154,"Saginaw/Bay City, Michigan",9,31,3
155,"Salem, Massachusetts",1,1,3
156,"Salt Lake City, Utah",4,5,3
157,"San Antonio, Texas",2,2,3
158,"San Diego, California",45,24294,1
159,"San Francisco, California",64,923,1
160,"San Joaquin River, California",2,10,3
161,"San Jose International, San Francisco, California",1,4,2
162,"San Juan International Airport, Old San Juan, Puerto Rico",2,9,2
163,"San Juan, Puerto Rico",229,159952,2
164,"San Pablo Bay, California",1,1,1
165,"Santa Teresa, New Mexico",1,1,3
166,"Sault Ste Marie, Michigan",5,10,3
167,"Savannah, Georgia",374,1607839,3
168,"Searsport, Maine",9,71,2
169,"Seattle Tacoma International Airport, Seattle, Washington",3,4,1
170,"Seattle, Washington",227,924779,1
171,"Selby, California",2,2,1
172,"Sitka, Alaska",3,5,1
173,"Skagway, Alaska",4,142,1
174,"St. Louis, Missouri",1,3,3
175,"Stockton, California",49,545,3
176,"Tacoma, Washington",164,1443399,1
177,"Tampa, Florida",152,34797,2
178,"Texas City, Texas",52,220,4
179,"Toledo, Ohio",18,362,3
180,"UPS Courier Hub Facility, Pennsylvania",5,113,3
181,"UPS Courier, Louisville, Kentucky",1,1,3
182,"UPS, Newark, New Jersey",6,15,3
183,"UPS, Seattle, Washington",1,2,3
184,"Vanceboro, Maine",1,1,2
185,"Vancouver, Washington",63,1875,1
186,"West Palm Beach, Florida",57,74721,2
187,"Wilmington, Delaware",91,76866,2
188,"Wilmington, North Carolina",114,49167,2
189,"Worcester, Massachusetts",1,2,2
190,"Wrangell, Alaska",1,2,1