PORT,LONGITUDE,LATITUDE,PORT_NAME,TOTAL,DOMESTIC,FOREIGN,IMPORTS,EXPORTS
C2253,-90.61794,30.03345,"South Louisiana, LA, Port of",261898079,137628829,124269250,39341620,84927630
C2012,-95.293679,29.747023,"Houston, TX",247981663,83995976,163985687,69109888,94875799
C0398,-74.038357,40.673949,"New York, NY and NJ",133396832,47278201,86118631,68406550,17712081
C2251,-90.085256,29.91414,"New Orleans, LA",90270859,48925046,41345813,18928842,22416971
C2395,-94.088112,30.087163,"Beaumont, TX",84528063,36269149,48258914,29180940,19077974
C2423,-97.39789,27.81277,"Corpus Christi, TX",81981061,32570498,49410563,23352732,26057831
C4110,-118.2095,33.73957,"Long Beach, CA",77813233,10403764,67409469,45302472,22106997
C2252,-91.19934,30.42292,"Baton Rouge, LA",72998561,43439533,29559028,8150521,21408507
C4120,-118.241,33.77728,"Los Angeles, CA",62615644,6329811,56285833,37127254,19158579
C2005,-88.04113,30.72527,"Mobile, AL",58024317,22805218,35219099,21199530,14019569
C2255,-89.687447,29.480004,"Plaquemines, LA, Port of",56780632,33320297,23460335,3319142,20141193
C2254,-93.286839,30.106406,"Lake Charles, LA",56045838,26584028,29461810,19541191,9920619
C5700,-76.31174,36.86642,"Virginia, VA, Port of",54047937,5364805,48683132,11440398,37242734
I2338,-84.5045,39.09403,"Cincinnati-Northern KY, Ports of",43050399,43050399,0,0,0
C2404,-94.918091,29.363068,"Texas City, TX",41260475,14416567,26843908,13268756,13575152
C0700,-76.51712,39.20899,"Baltimore, MD",38837979,6974729,31863250,14134738,17728512
I2348,-82.41998,38.43361,Huntington - Tristate,37401755,37401755,0,0,0
C0776,-81.095382,32.084711,"Savannah, GA",36443795,1182897,35260898,18501007,16759891
C2021,-82.52235,27.78534,"Tampa, FL",35318559,21816825,13501734,7920317,5581417
C2416,-93.96069,29.83142,"Port Arthur, TX",35198425,8674684,26523741,9011412,17512329
I2310,-90.22961,38.56954,"St. Louis, MO and IL",32150906,32150906,0,0,0
L3924,-92.096408,46.778362,"Duluth-Superior, MN and WI",30277995,22644517,7633478,425767,7207711
C4816,-146.3464,61.12473,"Valdez, AK",27652208,27157750,494458,0,494458
C2004,-88.55879,30.34802,"Pascagoula, MS",26876394,9526772,17349622,9057753,8291869
C4720,-122.4515,47.28966,"Tacoma, WA",25711848,4531547,21180301,8342898,12837403
C4350,-122.374233,37.924237,"Richmond, CA",24679148,9035708,15643440,12030614,3612826
C2163,-80.117801,26.093392,"Port Everglades, FL",24227425,12138824,12088601,7933647,4154954
C4722,-122.359218,47.587711,"Seattle, WA",24204009,6320802,17883207,7598198,10285009
C0773,-79.921595,32.788781,"Charleston, SC",23015503,2050894,20964609,13173818,7790791
C0552,-75.202191,39.91882,"Philadelphia, PA",22973188,11218865,11754323,10827584,926739
I2358,-80.01612,40.44234,"Pittsburgh, PA",22467462,22467462,0,0,0
C4644,-122.6653,45.47881,"Portland, OR",20474462,7857017,12617445,2259345,10358100
C2408,-95.3707,28.96133,"Freeport, TX",19635949,4835510,14800439,10229725,4570714
C4345,-122.3081,37.82152,"Oakland, CA",19051970,1963648,17088322,7200556,9887766
C2017,-81.665125,30.322757,"Jacksonville, FL",18519505,7641108,10878397,8914459,1963938
C5252,-75.22655,39.82689,"Paulsboro, NJ",18469855,7291368,11178487,8801827,2376660
C0149,-71.05229,42.350939,"Boston, MA",17183060,4969131,12213929,10476553,1737376
L3749,-87.63799,41.88662,"Chicago, IL",16423651,14666987,1756664,1756664,0
C5251,-75.40424,39.81544,"Marcus Hook, PA",15692302,9363068,6329234,5181595,1147639
L3926,-91.66261,47.00428,"Two Harbors, MN",15431524,15080841,350683,0,350683
C4626,-122.8628,46.02048,"Kalama, WA",15370094,1172774,14197320,377572,13819748
C4420,-157.8717,21.31111,"Honolulu, HI",13727392,12419163,1308229,980570,327659
L3321,-83.109586,42.269094,"Detroit, MI",13266629,10543838,2722791,2589410,133381
C4622,-122.914,46.14222,"Longview, WA",13147350,1318648,11828702,332423,11496279
L3217,-81.67191,41.47852,"Cleveland, OH",12422548,10782162,1640386,1336918,303468
L3738,-87.44547,41.67586,"Indiana Harbor, IN",12216800,12029614,187186,187186,0
I2294,-90.06198,35.18177,"Memphis, TN",12184332,12184332,0,0,0
C2136,-66.16667,18.66667,"San Juan, PR",10686817,4823788,5863029,5309223,553806
C4730,-122.59961,48.495943,"Anacortes, WA",10682558,8317193,2365365,208986,2156379
C0299,-75.56158,39.65668,"New Castle, DE",10595745,5212278,5383467,4989355,394112
C4458,-158.1089,21.29723,"Barbers Point, Oahu, HI",10225588,2979616,7245972,6483123,762849
C2417,-94.8127,29.31049,"Galveston, TX",9880157,4970549,4909608,1657630,3251978
C1507,-72.90473,41.29883,"New Haven, CT",9780119,7190961,2589158,2365253,223905
C4636,-122.6806,45.62244,"Vancouver, WA",9359385,1218256,8141129,1303063,6838066
L3845,-87.385166,46.577367,"Presque Isle, MI",8789657,7324165,1465492,0,1465492
L3739,-87.15521,41.64325,"Burns Waterway Harbor, IN",8595269,7330853,1264416,1264344,72
C1910,-90.205279,29.121945,"Port Fourchon, LA",8539173,8390272,148901,15400,133501
L3204,-83.50751,41.66294,"Toledo, OH",8393140,3096903,5296237,1593371,3702866
L3736,-87.32513,41.61202,"Gary, IN",8206098,8067502,138596,138596,0
C0191,-71.39844,41.81178,"Providence, RI",8064097,3789919,4274178,3647532,626646
C2164,-80.181642,25.782862,"Miami, FL",8026654,79243,7947411,4518353,3429058
I2332,-87.875,37.92208,"Mount Vernon, IN",7713026,7713026,0,0,0
I2333,-85.760993,38.26147,"Louisville, KY",7492168,7492168,0,0,0
C0554,-75.50697,39.71589,"Wilmington, DE",7481031,2371330,5109701,3984986,1124715
C0551,-75.10432,39.94305,"Camden-Gloucester, NJ",7440328,2417183,5023145,4211678,811467
C2420,-97.398138,25.952201,"Brownsville, TX",7275272,3449368,3825904,3125094,700810
C0505,-73.74816,42.64271,"Albany, NY",6656435,5861493,794942,441448,353494
I2320,-93.0619,44.95157,"St. Paul, MN",6231998,6231998,0,0,0
C0128,-70.25134,43.64951,"Portland, ME",5817486,1106638,4710848,4675315,35533
L3619,-83.420781,45.298455,"Stoneport, MI",5751199,5334269,416930,22687,394243
I2307,-90.046146,38.143332,"Kaskaskia, IL, Port of",5750588,5750588,0,0,0
L3509,-82.49413,42.82663,"St. Clair, MI",5463001,5463001,0,0,0
C0766,-77.953954,34.239278,"Wilmington, NC",5414954,528259,4886695,3187741,1698954
C2411,-96.97247,28.69131,"Victoria, TX",5082077,5082077,0,0,0
L3220,-80.5486,41.96671,"Conneaut, OH",5061377,3993023,1068354,17000,1051354
C2410,-96.56412,28.5954,"Matagorda Port Lv Pt Com, TX",4896638,2661776,2234862,760397,1474465
C2160,-80.60815,28.41409,"Port Canaveral, FL",4826738,1339105,3487633,3449443,38190
C4831,-151.3144,60.74793,"Nikishka, AK",4724918,4002662,722256,363105,359151
L3620,-83.7756,45.39293,"Calcite, MI",4658479,4636433,22046,0,22046
I2370,-86.77467,36.16513,"Nashville, TN",4651149,4651149,0,0,0
L3795,-87.024999,45.733509,"Escanaba, MI",4576446,4511506,64940,2696,62244
C4270,-121.3156,37.9527,"Stockton, CA",4290145,77843,4212302,2726932,1485370
L3803,-85.86279,45.95508,"Port Inland, MI",4102678,3836515,266163,24471,241692
C4410,-156.4728,20.89861,"Kahului, Maui, HI",3858176,3837241,20935,20935,0
L3928,-91.256388,47.294208,"Silver Bay, MN",3399616,3399616,0,0,0
C4820,-149.895,61.23778,"Anchorage, AK",3215121,2271953,943168,937832,5336
C2224,-90.659051,29.57907,"Terrebonne, LA, Port of",3194762,3194762,0,0,0
I2331,-87.123504,37.779971,"Owensboro, KY",2989143,2989143,0,0,0
C4978,-164.5389,67.71918,"Kivilina, AK",2850810,1489161,1361649,88595,1273054
C2023,-82.60271,27.66,"Port Manatee, FL",2823145,555793,2267352,2034503,232849
L3627,-84.31281,45.99139,"Port Dolomite, MI",2708823,2545330,163493,0,163493
L3202,-83.390609,41.915134,"Monroe, MI",2679727,2635076,44651,7198,37453
L3213,-82.71227,41.47022,"Sandusky, OH",2646862,1067226,1579636,62057,1517579
C0764,-76.72421,34.71693,"Morehead City, NC",2640865,1120006,1520859,740430,780429
L3219,-80.79172,41.91873,"Ashtabula, OH",2616171,2089137,527034,392322,134712
L3212,-82.70906,41.52962,"Marblehead, OH",2590844,2436111,154733,25652,129081
C0298,-74.74081,40.13598,"Penn Manor, PA",2550575,165719,2384856,1806213,578643
I2271,-91.126869,33.359232,"Greenville, MS",2508370,2508370,0,0,0
L3756,-87.89967,42.98824,"Milwaukee, WI",2465166,1155515,1309651,1054505,255146
I2276,-90.90056,32.3347,"Vicksburg, MS",2412454,2412454,0,0,0
C2162,-80.05267,26.76904,"Palm Beach, FL",2382153,796714,1585439,373410,1212029
C0780,-81.49988,31.15856,"Brunswick, GA",2374831,112750,2262081,1004599,1257482
C0135,-70.73806,43.07398,"Portsmouth, NH",2353014,365019,1987995,1958625,29370
C4702,-124.176146,46.904156,"Grays Harbor, WA",2307901,66393,2241508,162778,2078730
C2016,-84.19926,30.19009,"Panama City, FL",2278553,460245,1818308,651061,1167247
I2296,-89.571389,36.531111,"New Madrid County, MO, Port of",2182046,2182046,0,0,0
C4400,-155.0758,19.72861,"Hilo, HI",2158236,2127265,30971,30971,0
L3617,-83.42227,45.0556,"Alpena, MI",2131421,2000830,130591,27171,103420
C4660,-124.2095,43.36351,"Coos Bay, OR",2088259,43292,2044967,172778,1872189
C2030,-91.843795,29.937314,"Iberia, LA",2087308,2087308,0,0,0
I2372,-85.32682,35.02448,"Chattanooga, TN",2061878,2061878,0,0,0
C4430,-159.3531,21.96111,"Nawiliwili, Kauai, HI",2048427,2036310,12117,12117,0
I6109,-95.726841,36.238056,"Tulsa, Port of Catoosa, OK",2032837,2032837,0,0,0
C4405,-155.8333,20.03778,"Kawaihae Harbor, HI",2009661,1994854,14807,13834,973
C2083,-89.08533,30.35216,"Gulfport, MS",1930348,176795,1753553,1308873,444680
C4340,-122.214012,37.50536,"Redwood City, CA",1905211,95512,1809699,1436731,372968
C0311,-73.17886,41.172,"Bridgeport, CT",1902808,1783685,119123,119123,0
I2371,-86.287506,34.373904,"Guntersville, AL",1863528,1863528,0,0,0
L3778,-88.018118,44.516215,"Green Bay, WI",1790335,1467040,323295,280750,42545
L3218,-81.29407,41.76666,"Fairport Harbor, OH",1712922,1495115,217807,191903,25904
C4947,-168.9382,53.75961,"Unalaska Island, AK",1688215,457711,1230504,386261,844243
C4335,-122.399042,37.806665,"San Francisco, CA",1585377,483878,1101499,1100617,882
C0297,-75.3222,39.85423,"Chester, PA",1582309,328316,1253993,922191,331802
C4150,-119.208475,34.148244,"Port Hueneme, CA",1581649,12991,1568658,1396517,172141
C4100,-117.1784,32.70821,"San Diego, CA",1574868,212002,1362866,1316883,45983
I2385,-94.60762,39.115,"Kansas City, MO",1517347,1517347,0,0,0
C4725,-122.2294,47.98476,"Everett, WA",1499583,1127281,372302,225286,147016
L3737,-87.41614,41.64523,"Buffington, IN",1388861,1150061,238800,238800,0
C0112,-68.92497,44.45285,"Searsport, ME",1352913,184937,1167976,1099335,68641
I2293,-90.58323,34.52186,"Helena, AR",1341483,1341483,0,0,0
L3701,-86.238889,43.060833,"Grand Haven, MI",1302407,1150277,152130,131029,21101
C4718,-122.9089,47.06827,"Olympia, WA",1271809,513575,758234,45149,713085
C2151,-66.71667,18.00126,"Ponce, PR",1248578,350715,897863,722497,175366
I2268,-91.07121,33.77773,"Rosedale, MS",1212321,1212321,0,0,0
I2301,-89.93488,37.97332,"Southeast Missouri Port, MO",1179791,1179791,0,0,0
C0522,-73.07216,40.94881,"Port Jefferson, NY",1126756,1126756,0,0,0
L3844,-87.28703,46.51113,"Marquette, MI",1105550,741372,364178,364178,0
C0738,-77.276338,37.322308,"Hopewell, VA",1017739,508707,509032,20163,488869
I2298,-89.415053,36.498428,"Elvis Stahr Harbor, KY",975059,975059,0,0,0
C0189,-71.15875,41.72166,"Fall River, MA",973531,390350,583181,583181,0
I2269,-91.15361,32.79472,"Lake Providence, LA",944097,944097,0,0,0
L3506,-82.50235,42.71545,"Marine City, MI",941241,921741,19500,19500,0
L3725,-86.35014,43.19492,"Muskegon, MI",883788,737633,146155,146155,0
C2002,-88.88693,30.41907,"Biloxi, MS",854927,854927,0,0,0
C4800,-131.65,55.34193,"Ketchikan, AK",824416,780658,43758,14318,29440
C3813,-83.699621,46.040676,"Drummond Island, MI",819482,533518,285964,0,285964
I0514,-73.67332,40.87361,"Hempstead, NY",789672,789672,0,0,0
I3230,-78.904722,42.934167,"Buffalo, NY",787187,500156,287031,287031,0
L3216,-82.19514,41.48248,"Lorain, OH",771425,550927,220498,220498,0
C4810,-134.4239,58.29639,"Juneau, AK",771140,771140,0,0,0